Time,Distance_m,Alt_m,Err_Fwd_m,Err_Right_m,PWM_Roll,PWM_Pitch,PWM_Throttle,PWM_Yaw
0.0,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.1,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.2,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.3,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.4,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.5,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.6,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.7,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.8,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
0.9,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.0,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.1,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.2,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.3,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.4,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.5,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.6,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.7,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.8,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1250
1.9,1245.64,0.06,-841.36,-918.55,1050,1950,1950,1250
2.0,1245.64,0.06,-841.36,-918.55,1050,1950,1950,1250
2.1,1245.64,0.06,-841.36,-918.55,1050,1950,1950,1250
2.2,1245.64,0.17,-775.24,-975.0,1050,1050,1950,1250
2.3,1245.64,0.17,-775.24,-975.0,1050,1950,1950,1250
2.4,1245.49,0.67,-97.32,-1241.68,1050,1050,1950,1510
2.5,1245.49,0.67,-97.32,-1241.68,1050,1950,1950,1250
2.6,1245.49,0.67,-97.32,-1241.68,1050,1950,1950,1250
2.7,1245.04,1.76,575.81,-1103.88,1950,1050,1950,1618
2.8,1245.04,1.76,575.81,-1103.88,1050,1050,1950,1298
2.9,1244.33,3.27,1014.23,-720.91,1950,1050,1950,1677
3.0,1244.33,3.27,1014.23,-720.91,1050,1050,1950,1406
3.1,1244.33,3.27,1014.23,-720.91,1050,1050,1950,1406
3.2,1243.38,5.11,1209.78,-287.08,1950,1050,1950,1715
3.3,1243.38,5.11,1209.78,-287.08,1050,1050,1950,1494
3.4,1242.21,7.33,1242.19,-6.44,1950,1050,1950,1677
3.5,1242.21,7.33,1242.19,-6.44,1050,1050,1950,1547
3.6,1242.21,7.33,1242.19,-6.44,1050,1050,1950,1547
3.7,1240.81,9.84,1240.51,-26.89,1050,1050,1950,1533
3.8,1240.81,9.84,1240.51,-26.89,1050,1050,1950,1543
3.9,1239.23,12.48,1232.01,-133.59,1050,1050,1950,1473
4.0,1239.23,12.48,1232.01,-133.59,1050,1050,1950,1523
4.1,1239.23,12.48,1232.01,-133.59,1050,1050,1950,1523
4.2,1237.48,15.21,1225.0,-175.29,1050,1050,1950,1496
4.3,1237.48,15.21,1225.0,-175.29,1050,1050,1950,1515
4.4,1235.56,18.0,1226.1,-152.57,1950,1050,1950,1530
4.5,1235.56,18.0,1226.1,-152.57,1050,1050,1950,1519
4.6,1235.56,18.0,1226.1,-152.57,1050,1050,1950,1519
4.7,1233.46,20.84,1224.17,-151.09,1050,1050,1950,1520
4.8,1233.46,20.84,1224.17,-151.09,1050,1050,1950,1520
4.9,1231.26,23.64,1219.34,-170.91,1050,1050,1950,1506
5.0,1231.26,23.64,1219.34,-170.91,1050,1050,1950,1516
5.1,1231.26,23.64,1219.34,-170.91,1050,1050,1950,1516
5.2,1228.92,26.54,1217.2,-169.38,1050,1050,1950,1516
5.3,1228.92,26.54,1217.2,-169.38,1050,1050,1950,1516
5.4,1226.48,29.41,1217.7,-146.51,1950,1050,1950,1531
5.5,1226.48,29.41,1217.7,-146.51,1050,1050,1950,1520
5.6,1226.48,29.41,1217.7,-146.51,1050,1050,1950,1520
5.7,1223.99,32.05,1215.39,-144.85,1050,1050,1950,1521
5.8,1223.99,32.05,1215.39,-144.85,1050,1050,1950,1520
5.9,1221.45,34.64,1207.29,-185.45,1050,1050,1950,1493
6.0,1221.45,34.64,1207.29,-185.45,1050,1050,1950,1513
6.1,1221.45,34.64,1207.29,-185.45,1050,1050,1950,1513
6.2,1218.83,37.29,1204.89,-183.76,1050,1050,1950,1513
6.3,1218.83,37.29,1204.89,-183.76,1050,1050,1950,1513
6.4,1218.83,37.29,1207.92,-162.7,1950,1050,1950,1527
6.5,1218.83,37.29,1207.92,-162.7,1050,1050,1950,1517
6.6,1218.83,37.29,1207.92,-162.7,1050,1050,1950,1517
6.7,1213.46,42.35,1202.97,-159.2,1050,1050,1950,1518
6.8,1213.46,42.35,1202.97,-159.2,1050,1050,1950,1517
6.9,1213.46,42.35,1205.57,-138.18,1950,1050,1950,1531
7.0,1213.46,42.35,1205.57,-138.18,1050,1050,1950,1521
7.1,1213.46,42.35,1205.57,-138.18,1050,1050,1950,1521
7.2,1207.89,47.76,1197.82,-155.71,1050,1050,1950,1509
7.3,1207.89,47.76,1197.82,-155.71,1050,1050,1950,1518
7.4,1207.89,47.76,1194.92,-176.59,1050,1050,1950,1504
7.5,1207.89,47.76,1194.92,-176.59,1050,1050,1950,1514
7.6,1207.89,47.76,1194.92,-176.59,1050,1050,1950,1514
