Time,Distance_m,Alt_m,Err_Fwd_m,Err_Right_m,PWM_Roll,PWM_Pitch,PWM_Throttle,PWM_Yaw
0.0,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.1,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.2,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.3,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.4,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.5,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.6,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.7,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.8,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
0.9,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.0,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.1,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.2,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.3,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.4,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.5,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.6,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.7,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.8,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
1.9,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
2.0,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
2.1,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
2.2,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
2.3,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
2.4,1245.64,0.0,-841.36,-918.55,1050,1950,1950,1500
2.5,1245.64,0.15,-841.36,-918.54,1050,1950,1950,1500
2.6,1245.64,0.15,-841.36,-918.54,1050,1950,1950,1500
2.7,1245.64,0.15,-841.36,-918.54,1050,1950,1950,1500
2.8,1245.43,1.0,-841.22,-918.39,1050,1950,1950,1500
2.9,1245.43,1.0,-841.22,-918.39,1050,1950,1950,1500
3.0,1244.58,2.53,-824.49,-932.31,1050,1950,1950,1500
3.1,1244.58,2.53,-824.49,-932.31,1050,1950,1950,1500
3.2,1244.58,2.53,-824.49,-932.31,1050,1950,1950,1500
3.3,1243.1,4.41,-790.46,-959.42,1050,1950,1950,1500
3.4,1243.1,4.41,-790.46,-959.42,1050,1950,1950,1500
3.5,1241.12,6.5,-822.07,-929.82,1050,1950,1950,1500
3.6,1241.12,6.5,-822.07,-929.82,1050,1950,1950,1500
3.7,1241.12,6.5,-822.07,-929.82,1050,1950,1950,1500
3.8,1238.77,8.73,-804.1,-942.32,1050,1950,1950,1500
3.9,1238.77,8.73,-804.1,-942.32,1050,1950,1950,1500
4.0,1236.07,11.0,-802.25,-940.35,1050,1950,1950,1500
4.1,1236.07,11.0,-802.25,-940.35,1050,1950,1950,1500
4.2,1236.07,11.0,-802.25,-940.35,1050,1950,1950,1500
4.3,1233.05,13.36,-800.19,-938.15,1050,1950,1950,1500
4.4,1233.05,13.36,-800.19,-938.15,1050,1950,1950,1500
4.5,1229.84,15.66,-798.0,-935.78,1050,1950,1950,1500
